t_ms,pwm_cmd,rpm_actual,pwm_output
677700,150,-49.9
677800,150,-49.9
677900,150,-49.4
678000,60,-49.9
678100,60,-44.9
678200,60,-36.7
678300,60,-32.1
678400,60,-28.7
678500,60,-27.0
678600,60,-25.9
678700,60,-24.9
678800,60,-24.5
678900,60,-24.1
679000,60,-23.7
679100,60,-23.9
679200,60,-23.6
679300,60,-23.3
679400,60,-23.5
679500,90,-23.6
679600,90,-27.0
679700,90,-32.5
679800,90,-35.1
679900,90,-35.8
680000,90,-36.7
680100,90,-37.1
680200,90,-37.0
680300,90,-37.5
680400,90,-37.5
680500,90,-37.2
680600,90,-37.6
680700,90,-37.6
680800,90,-37.4
680900,90,-37.8
681000,30,-37.8
681100,30,-32.5
681200,30,-24.5
681300,30,-18.4
681400,30,-13.6
681500,30,-10.5
681600,30,-8.0
681700,30,-6.5
681800,30,-5.4
681900,30,-4.5
682000,30,-4.1
682100,30,-3.8
682200,30,-3.3
682300,30,-3.4
682400,30,-3.2
682500,150,-3.1
682600,150,-25.1
682700,150,-43.6
682800,150,-47.8
682900,150,-49.4
683000,150,-49.6
683100,150,-49.4
683200,150,-50.0
683300,150,-50.0
683400,150,-49.6
683500,150,-50.1
683600,150,-50.1
683700,150,-49.6
683800,150,-50.1
683900,150,-50.3
684000,60,-49.6
684100,60,-45.2
684200,60,-37.4
684300,60,-32.0
684400,60,-29.3
684500,60,-27.3
684600,60,-25.8
684700,60,-25.3
684800,60,-24.5
684900,60,-24.5
685000,60,-24.4
685100,60,-23.9
685200,60,-24.1
685300,60,-24.1
685400,60,-23.7
685500,30,-24.0
685600,30,-20.7
685700,30,-15.2
685800,30,-11.5
685900,30,-8.8
686000,30,-6.8
686100,30,-5.5
686200,30,-4.7
686300,30,-4.1
686400,30,-3.8
686500,30,-3.4
686600,30,-3.4
686700,30,-3.3
686800,30,-3.2
686900,30,-3.2
687000,120,-3.1
687100,120,-19.6
687200,120,-35.7
687300,120,-41.6
687400,120,-43.7
687500,120,-44.3
687600,120,-45.0
687700,120,-45.4
687800,120,-45.3
687900,120,-46.3
688000,120,-45.5
688100,120,-45.9
688200,120,-46.0
688300,120,-45.5
688400,120,-46.0
688500,60,-46.0
688600,60,-41.2
688700,60,-35.2
688800,60,-31.0
688900,60,-28.1
689000,60,-26.8
689100,60,-25.6
689200,60,-24.7
689300,60,-24.6
689400,60,-24.4
689500,60,-23.9
689600,60,-24.0
689700,60,-24.0
689800,60,-23.7
689900,60,-23.9
690000,150,-23.9
690100,150,-35.3
690200,150,-46.0
690300,150,-48.9
690400,150,-49.2
690500,150,-50.0
690600,150,-50.1
690700,150,-49.6
690800,150,-50.1
690900,150,-50.1
691000,150,-49.5
691100,150,-50.0
