t_ms,pwm_heater,temp_C
35501,220,50.59
35601,220,50.84
35701,220,50.84
35801,220,50.84
35901,220,51.09
36001,220,51.09
36101,220,51.09
36201,220,51.09
36301,220,51.34
36401,220,51.34
36501,220,51.59
36601,220,51.59
36701,220,51.59
36801,220,51.59
36901,220,51.84
37001,220,51.84
37101,220,51.84
37201,220,52.08
37301,220,52.08
37401,220,52.32
37501,220,52.32
37601,220,52.32
37701,220,52.57
37801,220,52.57
37901,220,52.81
38001,220,52.81
38101,220,53.04
38201,220,53.04
38301,220,53.04
38401,220,53.04
38501,220,53.28
38601,220,53.28
38701,220,53.28
38801,220,53.52
38901,220,53.52
39001,220,53.52
39101,220,53.52
39201,220,53.75
39301,220,53.75
39401,220,53.99
39501,220,53.99
39601,220,53.99
39701,220,54.22
39801,220,54.22
39901,220,54.22
40001,220,54.45
40101,220,54.45
40201,220,54.68
40301,220,54.68
40401,220,54.91
40501,220,54.91
40601,220,54.91
40701,220,55.14
40801,220,55.14
40901,220,55.14
41001,220,55.37
41101,220,55.37
41201,220,55.37
41301,220,55.59
41401,220,55.59
41501,220,55.59
41601,220,55.82
41701,220,55.82
41801,220,55.82
41901,220,56.04
42001,220,56.04
42101,220,56.04
42201,220,56.27
42301,220,56.27
42401,220,56.49
42501,220,56.49
42601,220,56.71
42701,220,56.71
42801,220,56.71
42901,220,56.93
43001,220,56.93
43101,220,56.93
43201,220,57.15
43301,220,57.15
43401,220,57.15
43501,220,57.36
43601,220,57.36
43701,220,57.36
43801,220,57.58
43901,220,57.58
44001,220,57.58
44101,220,57.80
44201,220,57.80
44301,220,58.01
44401,220,58.01
44501,220,58.01
44601,220,58.23
44701,220,58.23
44801,220,58.23
44901,220,58.44
45001,220,58.44
45101,220,58.65
45201,220,58.65
45301,220,58.86
45401,220,58.86
45501,220,59.07
45601,220,59.07
45701,220,59.07
45801,220,59.28
45901,220,59.28
46001,220,59.28
46101,220,59.49
46201,220,59.49
46301,220,59.70
46401,220,59.70
46501,220,59.70
46601,220,59.90
46701,220,59.90
46801,220,60.11
46901,220,60.11
47001,220,60.11
47101,220,60.11
47201,220,60.32
47301,220,60.32
47401,220,60.52
47501,220,60.52
47601,220,60.52
47701,220,60.72
47801,220,60.72
47901,220,60.93
48001,220,60.93
48101,220,61.13
48201,220,61.13
48301,220,61.33
48401,220,61.33
48501,220,61.33
48601,220,61.53
48701,220,61.53
48801,220,61.73
48901,220,61.73
49001,220,61.73
49101,220,61.93
49201,220,61.93
49301,220,61.93
49401,220,61.93
49501,220,62.13
49601,220,62.13
49701,220,62.32
49801,220,62.32
49901,220,62.52
50001,220,62.52
50101,220,62.52
50201,220,62.72
50301,220,62.72
50401,220,62.72
50501,220,62.91
50601,220,62.91
50701,220,63.11
50801,220,63.11
50901,220,63.30
51001,220,63.30
51101,220,63.50
51201,220,63.50
