t_ms,pwm_heater,temp_C
100,180,22.85
200,180,22.85
300,180,23.42
400,180,23.42
500,180,23.42
600,180,23.42
700,180,23.42
800,180,23.42
900,180,23.42
1000,180,23.42
1100,180,23.42
1201,180,23.97
1301,180,23.97
1401,180,23.97
1501,180,23.42
1601,180,23.97
1701,180,23.42
1801,180,23.97
1901,180,23.97
2001,180,23.97
2101,180,23.42
2201,180,23.42
2301,180,23.97
2401,180,23.97
2501,180,23.97
2601,180,23.97
2701,180,23.97
2801,180,23.97
2901,180,24.52
3001,180,23.97
3101,180,24.52
3201,180,24.52
3301,180,24.52
3401,180,24.52
3501,180,25.05
3601,180,24.52
3701,180,24.52
3801,180,25.05
3901,180,24.52
4001,180,25.05
4101,180,25.05
4201,180,25.05
4301,180,25.05
4401,180,25.05
4501,180,25.05
4601,180,25.05
4701,180,25.05
4801,180,25.05
4901,180,25.05
5001,180,25.05
5101,180,25.05
5201,180,25.58
5301,180,25.58
5401,180,25.58
5501,180,25.58
5601,180,25.58
5701,180,25.58
5801,180,25.58
5901,180,26.10
6001,180,26.10
6101,180,26.10
6201,180,26.10
6301,180,26.10
6401,180,26.10
6501,180,26.60
6601,180,26.60
6701,180,26.10
6801,180,26.60
6901,180,26.60
7001,180,26.60
7101,180,26.60
7201,180,26.60
7301,180,26.60
7401,180,26.60
7501,180,26.60
7601,180,27.10
7701,180,26.60
7801,180,26.60
7901,180,27.10
8001,180,27.10
8101,180,27.10
8201,180,27.10
8301,180,27.59
8401,180,27.59
8501,180,27.59
8601,180,27.59
8701,180,27.59
8801,180,28.08
8901,180,28.08
9001,180,28.08
9101,180,28.08
9201,180,28.08
9301,180,28.08
9401,180,28.08
9501,180,28.55
9601,180,28.55
9701,180,28.55
9801,180,28.55
9901,180,28.55
10001,180,28.55
10101,180,28.55
10201,180,28.55
10301,180,29.02
10401,180,29.02
10501,180,29.02
10601,180,29.02
10701,180,29.02
10801,180,29.02
10901,180,29.02
11001,180,29.48
11101,180,29.48
11201,180,29.48
11301,180,29.48
11401,180,29.48
11501,180,29.48
11601,180,29.94
11701,180,29.94
11801,180,29.94
11901,180,29.94
12001,180,29.94
12101,180,30.38
12201,180,30.38
12301,180,30.38
12401,180,30.38
12501,180,30.38
12601,180,30.38
12701,180,30.38
12801,180,30.38
12901,180,30.82
13001,180,30.82
13101,180,30.82
13201,180,30.82
13301,180,30.82
13401,180,30.82
13501,180,31.26
13601,180,31.26
13701,180,31.26
13801,180,31.26
13901,180,31.26
14001,180,31.26
14101,180,31.26
14201,180,31.69
14301,180,31.69
14401,180,31.69
14501,180,32.11
14601,180,32.11
14701,180,32.11
14801,180,32.11
14901,180,32.11
15001,180,32.11
15101,180,32.53
15201,180,32.53
15301,180,32.53
15401,180,32.53
15501,180,32.53
15601,180,32.53
15701,180,32.53
15801,180,32.53
15901,180,32.53
16001,180,32.94
16101,180,32.94
16201,180,32.94
16301,180,32.94
16401,180,33.35
16501,180,33.35
16601,180,33.35
16701,180,33.75
16801,180,33.75
16901,180,33.75
17001,180,33.75
17101,180,33.75
17201,180,33.75
17301,180,33.75
17401,180,34.15
17501,180,34.15
17601,180,34.15
17701,180,34.15
17801,180,34.15
17901,180,34.15
18001,180,34.54
18101,180,34.54
18201,180,34.54
18301,180,34.54
18401,180,34.54
18501,180,34.54
18601,180,34.93
18701,180,34.93
18801,180,34.93
18901,180,34.93
19001,180,34.93
19101,180,35.31
19201,180,35.31
19301,180,35.31
19401,180,35.69
19501,180,35.69
19601,180,35.69
19701,180,35.69
19801,180,35.69
19901,180,36.07
20001,180,36.07
20101,180,36.07
20201,180,36.07
20301,180,36.07
20401,180,36.07
20501,180,36.44
20601,180,36.07
20701,180,36.44
20801,180,36.44
20901,180,36.44
21001,180,36.44
21101,180,36.81
21201,180,36.81
21301,180,36.81
21401,180,36.81
21501,180,36.81
21601,180,37.17
21701,180,37.17
21801,180,37.17
21901,180,37.17
22001,180,37.53
22101,180,37.53
22201,180,37.53
22301,180,37.53
22401,180,37.53
22501,180,37.88
22601,180,37.88
22701,180,37.88
22801,180,37.88
22901,180,38.23
23001,180,38.23
23101,180,38.23
23201,180,38.23
23301,180,38.23
23401,180,38.23
23501,180,38.58
23601,180,38.58
23701,180,38.58
23801,180,38.93
23901,180,38.58
24001,180,38.93
24101,180,38.93
24201,180,38.93
24301,180,39.27
24401,180,39.27
24501,180,39.27
24601,180,39.27
24701,180,39.27
24801,180,39.61
24901,180,39.61
25001,180,39.61
25101,180,39.61
25201,180,39.61
25301,180,39.61
25401,180,39.94
25501,180,39.94
25601,180,39.94
25701,180,39.94
25801,180,39.94
25901,180,40.27
26001,180,40.27
26101,180,40.27
26201,180,40.27
26301,180,40.60
26401,180,40.27
26501,180,40.60
26601,180,40.60
26701,180,40.93
26801,180,40.93
26901,180,40.93
27001,180,40.93
27101,180,41.25
