Timestamp,Temperatura_Hotend,RPM_Motor_DC,Grosor_Filamento,PWM_Hotend,PWM_Motor_DC,PWM_Fan,Setpoint_Temp,Setpoint_RPM,Estado_Motor_DC,Estado_Fan,Estado_Extrusor,Estado_Heater
92,20.46,0.0,,0,10,0,190.0,20.0,0,0,0,0
93,20.46,0.0,,0,10,0,190.0,20.0,0,0,0,0
94,20.46,0.0,,0,10,0,190.0,20.0,0,0,0,0
95,20.46,0.0,,0,10,0,190.0,20.0,0,0,0,0
96,20.46,0.0,,0,10,0,190.0,20.0,0,0,0,0
97,20.46,0.0,,0,10,0,190.0,20.0,0,0,0,0
98,20.46,0.0,,0,10,0,190.0,20.0,0,0,0,0
99,20.46,0.0,,0,10,0,190.0,20.0,0,0,0,0
100,19.83,0.0,,0,10,0,190.0,20.0,0,0,0,0
101,20.46,0.0,,0,10,0,190.0,20.0,0,0,0,0
102,20.46,0.0,,0,10,0,190.0,20.0,0,0,0,0
103,19.83,0.0,,0,10,0,190.0,20.0,0,0,0,0
104,20.46,0.0,,0,10,0,190.0,20.0,0,0,0,0
105,19.83,0.0,,0,10,0,190.0,20.0,0,0,0,0
106,20.46,0.0,,0,10,0,190.0,20.0,0,0,0,0
107,20.46,0.0,,0,10,0,190.0,20.0,0,0,0,0
108,20.46,0.0,,0,10,0,190.0,20.0,0,0,0,0
109,20.46,0.0,,0,10,0,190.0,20.0,0,0,0,0
110,19.83,0.0,,0,10,0,190.0,20.0,0,0,0,0
111,20.46,0.0,,0,10,0,190.0,20.0,0,0,0,0
112,20.46,0.0,,0,10,0,190.0,20.0,0,0,0,0
113,20.46,0.0,,0,10,0,190.0,20.0,0,0,0,0
114,21.08,0.0,,0,10,0,190.0,20.0,0,0,0,0
